id,user_id,timestamp_created,timestamp_lastchange,type,address_type,address_is_default,salutation,name,firstname,birthday,birthplace,extranet_login,categories,newsletters,company_id,company_name,address_street,address_houseNumber,address_zip,address_city,phone_country,phone_area,phone_number
57,,2021-11-10 10:54:46,2024-03-25 10:08:51,person,Standard,1,ms,Ramos,Jane,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Mitarbeiter>>Verkauf%%Allgemein>>Trainer%%Allgemein>>redpeppers.celanio.com/%%Allgemein>>Dozenten,,,,Rosenstr,10,12345,Windenburg,49,721,123456-10
58,1,2021-11-10 10:58:26,2024-02-22 11:21:12,company,Standard,1,,Hotel Marbella,,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Orte%%Allgemein>>Hotels,,,,Sonnenstr.,40,46099,Valencia,34,6,58432
61,,2021-11-10 12:48:01,2024-09-17 05:21:23,company,Standard,1,,Best Western Stuttgart,,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Orte%%Allgemein>>Hotels,,,,Ludwigsburgerstra�e,455,70173,Stuttgart,49,711,456763
62,,2021-11-11 09:46:04,2024-10-09 17:35:12,person,Standard,1,mr,Gundelfinger,Marius,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Trainer,,,,Brettener Str.,73,75438,Knittlingen,49,176,12345679
63,,2021-11-11 09:50:18,2024-08-28 12:21:21,company,Standard,1,,Hotel Parkhotel Pforzheim,,,,,Allgemein>>E-Mail>>Gruppe A,,,,Schlossstra�e,111-125,75172,Pforzheim,49,7231,111125
64,,2021-11-11 10:24:03,2024-02-22 11:20:39,person,Standard,1,ms,Henny,Jessica,,,,Allgemein>>E-Mail>>Gruppe A,,,,An der Salzach,07/01/25,75015,Bretten-Ruit,49,152,12312311
65,,2021-11-11 10:46:09,2024-04-04 16:45:47,person,Standard,1,ms,Bohnenberger,Susanne,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>E-Mail>>Gruppe B%%Allgemein>>TYP>>Kunde,,,,Am Steinbruch,25c,75015,Bretten,49,725,887889
66,,2021-11-11 13:59:03,2025-01-30 11:44:45,person,Standard,1,mr,Carello,Nathaniel,1996-01-17,,carello-n,Allgemein>>Trainer%%Allgemein>>redpeppers.celanio.com/%%Allgemein>>Dozenten,Newsletter>>Allgemein%%Newsletter>>Grill-Kurse,,,S�dring,3,12345,Windenburg,49,7254,554875
67,,2021-11-11 14:05:51,2024-11-06 08:29:48,company,Standard,1,,Hotel Krone,,,,,Allgemein>>E-Mail>>Gruppe A,,,,Robert-Koch-Platz,7,10115,Berlin,49,721,84543
68,,2021-11-15 07:58:02,2024-02-22 11:20:39,person,Standard,1,mr,Veilmont,Castiel,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Mitarbeiter>>Verkauf%%Allgemein>>Trainer%%Allgemein>>redpeppers.celanio.com/%%Allgemein>>Dozenten,,,,Niederwaldstra�e,13,12345,Windenburg,49,7222,584698
69,,2021-11-29 11:00:17,2024-02-22 11:20:39,person,Standard,1,mr,Koch,Michael,,,,Allgemein>>E-Mail>>Gruppe A,,,,Fritz-Erler-Str.,23,76133,Karlsruhe,49,721,38134120
70,,2021-11-29 11:03:11,2025-01-31 16:11:50,person,Standard,1,ms,Beisel,Alexandra,,,,Allgemein>>E-Mail>>Gruppe A,,,,Fritz-Erler-Str.,23,76133,Karlsruhe,49,721,38134120
71,,2021-12-12 23:00:00,2024-02-22 11:20:39,person,Invoice,1,,Plenk,Max,,,plenky,Allgemein>>E-Mail>>Gruppe A,Newsletter>>Allgemein,,,Fritz-Erler-Str.,23,76133,Karlsruhe,49,721,47031830
72,1,2021-12-13 14:27:41,2024-02-22 11:21:11,company,Standard,1,,Metro GmbH,,,,,Allgemein>>E-Mail>>Gruppe A,,,,,,,,,,
73,2,2021-12-13 14:27:42,2024-03-18 10:04:30,person,Standard,1,mr,Mustermann,Maxx,,,,Allgemein>>E-Mail>>Gruppe A,,72,Metro GmbH,,,,,,,
74,,2021-12-13 15:47:18,2024-02-22 11:20:39,person,Standard,1,ms,Weber,Gabriele,,,,Allgemein>>E-Mail>>Gruppe A,,,,Fritz-Erler-Str.,23,76133,Karlsruhe,,,
75,,2022-01-12 15:56:41,2024-02-22 11:20:39,person,Invoice,1,mr,Pichtel,Noah,,,,Allgemein>>E-Mail>>Gruppe A,,,,,,,,,,
76,,2022-01-12 15:57:22,2024-02-22 11:20:40,person,Invoice,1,ms,Erakles,Claire,,,,Allgemein>>E-Mail>>Gruppe A%%Allgemein>>Mitarbeiter>>Verkauf%%Allgemein>>Teilnehmer%%Allgemein>>redpeppers.celanio.com/,,,,Lindenallee,55,12345,Windenburg,49,123,86984
